name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
toyota innova 2.5 g (diesel) 7 seater,2015.0,1200000.0,80000.0,diesel,individual,manual,first owner
jeep compass 1.4 sport plus bsiv,2019.0,1200000.0,10000.0,petrol,individual,manual,first owner
mercedes-benz e-class e 200 cgi elegance,2010.0,850000.0,119000.0,petrol,dealer,automatic,first owner
hyundai i10 magna 1.1l,2014.0,229999.0,60000.0,petrol,individual,manual,fourth & above owner
bmw 3 series 320d sport line,2013.0,1200000.0,75800.0,diesel,dealer,automatic,second owner
audi q7 35 tdi quattro premium,2009.0,1200000.0,78000.0,diesel,dealer,automatic,third owner
hyundai elantra crdi s,2012.0,625000.0,40000.0,diesel,individual,manual,first owner
mahindra scorpio 1.99 s10,2014.0,1050000.0,50000.0,diesel,individual,manual,first owner
honda city i dtec v,2014.0,560000.0,74000.0,diesel,individual,manual,second owner
maruti wagon r vxi bs iv with abs,2014.0,290000.0,64000.0,petrol,individual,manual,second owner
maruti wagon r vxi bs iv,2012.0,275000.0,60000.0,petrol,individual,manual,second owner
mahindra scorpio lx,2009.0,411000.0,120000.0,diesel,individual,manual,second owner
hyundai santro xing gls,2009.0,150000.0,79000.0,petrol,individual,manual,third owner
hyundai grand i10 1.2 kappa asta,2019.0,500000.0,15000.0,petrol,individual,manual,first owner
maruti alto lxi,2006.0,100000.0,80000.0,petrol,individual,manual,first owner
maruti swift dzire vdi optional,2017.0,725000.0,18500.0,diesel,dealer,manual,first owner
maruti eeco 5 seater ac bsiv,2018.0,401000.0,10200.0,petrol,dealer,manual,first owner
hyundai i20 sportz 1.4 crdi,2018.0,750000.0,29000.0,diesel,dealer,manual,first owner
maruti omni maruti omni mpi std bsiii 5-str w/ immobiliser,2018.0,310000.0,28000.0,petrol,dealer,manual,first owner
maruti swift zdi bsiv,2016.0,665000.0,46000.0,diesel,dealer,manual,first owner
hyundai i20 2015-2017 sportz option 1.4 crdi,2014.0,465000.0,70000.0,diesel,dealer,manual,first owner
maruti alto lxi,2012.0,160000.0,60000.0,petrol,individual,manual,second owner
mahindra jeep cl 500 mdi,2001.0,250000.0,35000.0,diesel,individual,manual,second owner
honda city i dtec vx,2014.0,675000.0,90000.0,diesel,dealer,manual,first owner
maruti wagon r vxi bs iv,2013.0,300000.0,80000.0,petrol,dealer,manual,first owner
tata indica dls,2005.0,70000.0,80000.0,diesel,individual,manual,first owner
hyundai eon magna plus,2014.0,240000.0,73300.0,petrol,dealer,manual,second owner
toyota etios gd,2014.0,525000.0,92000.0,diesel,dealer,manual,first owner
maruti alto lxi,2009.0,151000.0,66764.0,petrol,dealer,manual,second owner
maruti alto lxi,2009.0,140000.0,100000.0,petrol,individual,manual,first owner
chevrolet tavera neo ls b3 - 7(c) seats bsiii,2010.0,280000.0,171000.0,diesel,individual,manual,second owner
toyota corolla altis diesel d4dg,2011.0,350000.0,171000.0,diesel,individual,manual,first owner
mahindra scorpio 1.99 s6 plus,2017.0,570000.0,60000.0,diesel,individual,manual,first owner
hyundai eon magna plus,2018.0,300000.0,31000.0,petrol,individual,manual,first owner
tata indigo classic dicor,2007.0,100000.0,39000.0,diesel,individual,manual,first owner
toyota innova 2.5 v diesel 8-seater,2009.0,500000.0,120000.0,diesel,individual,manual,third owner
tata indica vista quadrajet ls,2014.0,125000.0,166000.0,diesel,individual,manual,fourth & above owner
maruti swift 1.3 vxi,2006.0,130000.0,110000.0,petrol,individual,manual,third owner
ford ecosport 1.5 diesel titanium bsiv,2017.0,925000.0,35000.0,diesel,individual,manual,first owner
maruti ciaz 1.3 delta,2018.0,750000.0,60000.0,diesel,individual,manual,first owner
honda civic 1.8 v at,2007.0,200000.0,54000.0,petrol,individual,automatic,second owner
hyundai i10 sportz 1.2,2010.0,248000.0,63000.0,petrol,individual,manual,second owner
skoda rapid 1.5 tdi elegance,2014.0,450000.0,120000.0,diesel,individual,manual,second owner
hyundai getz gls,2005.0,80000.0,120000.0,petrol,individual,manual,third owner
nissan terrano xl,2014.0,650000.0,76000.0,petrol,individual,manual,second owner
hyundai grand i10 crdi sportz,2015.0,450000.0,80000.0,diesel,individual,manual,first owner
hyundai elite i20 diesel era,2019.0,650000.0,25000.0,diesel,individual,manual,first owner
honda amaze s i-vtec,2016.0,495000.0,11958.0,petrol,dealer,manual,first owner
honda brio s mt,2015.0,371000.0,20000.0,petrol,dealer,manual,first owner
hyundai creta 1.6 sx option,2017.0,1025000.0,9000.0,petrol,dealer,manual,first owner
mercedes-benz s-class s 350d connoisseurs edition,2017.0,1200000.0,6500.0,diesel,dealer,automatic,first owner
mahindra xuv500 w8 2wd,2015.0,750000.0,70000.0,diesel,individual,manual,first owner
renault duster 85ps diesel rxl optional,2013.0,600000.0,120000.0,diesel,individual,manual,first owner
hyundai santro xing xo,2007.0,80000.0,58000.0,petrol,dealer,manual,second owner
mahindra bolero 2011-2019 sle,2013.0,325000.0,62200.0,diesel,dealer,manual,first owner
audi a6 2.0 tdi premium plus,2014.0,1200000.0,34000.0,diesel,dealer,automatic,second owner
fiat avventura multijet emotion,2015.0,350000.0,53000.0,diesel,individual,manual,second owner
audi a8 4.2 tdi,2013.0,1200000.0,49000.0,diesel,dealer,automatic,first owner
datsun redigo 1.0 s,2017.0,210000.0,15000.0,petrol,dealer,manual,second owner
volkswagen jetta 1.4 tsi comfortline,2013.0,450000.0,50000.0,petrol,individual,manual,first owner
audi a4 2.0 tdi 177 bhp premium plus,2013.0,1150000.0,53000.0,diesel,dealer,automatic,first owner
honda civic 1.8 v at,2009.0,210000.0,63500.0,petrol,dealer,automatic,first owner
mercedes-benz e-class exclusive e 200 bsiv,2018.0,1200000.0,9800.0,petrol,dealer,automatic,first owner
bmw x1 sdrive 20d xline,2017.0,1200000.0,13000.0,diesel,individual,automatic,first owner
volvo v40 d3 r design,2018.0,1200000.0,21000.0,diesel,dealer,automatic,first owner
maruti sx4 zxi bsiii,2008.0,175000.0,29173.0,petrol,dealer,manual,first owner
bmw 7 series 730ld,2012.0,1200000.0,48000.0,diesel,dealer,automatic,first owner
mahindra bolero power plus slx,2017.0,628000.0,120000.0,diesel,individual,manual,first owner
hyundai sonata crdi m/t,2010.0,600000.0,100000.0,diesel,individual,manual,first owner
nissan micra active xv petrol,2017.0,399000.0,30000.0,petrol,individual,manual,first owner
mahindra xylo d4,2018.0,750000.0,87000.0,diesel,individual,manual,first owner
hyundai elite i20 sportz plus dual tone bsiv,2019.0,750000.0,15000.0,petrol,individual,manual,first owner
renault kwid rxt,2017.0,315000.0,16000.0,petrol,individual,manual,first owner
mahindra xylo e4 bs iii,2012.0,600000.0,60000.0,diesel,individual,manual,first owner
maruti wagon r lxi minor,2010.0,100000.0,60000.0,petrol,individual,manual,fourth & above owner
maruti sx4 zxi mt bsiv,2011.0,250000.0,110000.0,petrol,individual,manual,third owner
renault kwid rxt,2017.0,350000.0,25000.0,petrol,individual,manual,first owner
hyundai creta 1.4 crdi s,2016.0,780000.0,60000.0,diesel,individual,manual,first owner
maruti swift dzire vdi,2014.0,434000.0,79350.0,diesel,individual,manual,second owner
hyundai verna 1.6 vtvt at s option,2016.0,690000.0,80000.0,petrol,individual,automatic,first owner
mahindra scorpio lx bsiv,2014.0,555000.0,90000.0,diesel,individual,manual,second owner
maruti sx4 vxi bsiii,2007.0,120000.0,90000.0,petrol,individual,manual,second owner
maruti ertiga vdi,2014.0,500000.0,120000.0,diesel,individual,manual,second owner
chevrolet beat diesel,2013.0,165000.0,60000.0,diesel,individual,manual,second owner
maruti zen lx,2004.0,95000.0,50000.0,petrol,individual,manual,first owner
maruti baleno delta 1.2,2018.0,550000.0,20000.0,petrol,individual,manual,first owner
maruti swift vdi bsiii,2007.0,100000.0,110000.0,diesel,individual,manual,fourth & above owner
tata nano lx bsiv,2012.0,100000.0,50000.0,petrol,individual,manual,second owner
toyota innova 2.5 gx (diesel) 8 seater,2012.0,500000.0,100000.0,diesel,individual,manual,first owner
maruti ertiga shvs vdi,2016.0,800000.0,70000.0,diesel,individual,manual,second owner
hyundai creta 1.6 crdi sx,2016.0,840000.0,70000.0,diesel,individual,manual,second owner
honda amaze s i-vtech,2016.0,490000.0,50000.0,petrol,individual,manual,first owner
tata indica vista aqua 1.4 tdi,2010.0,125000.0,81000.0,diesel,individual,manual,second owner
chevrolet tavera neo 2 ls b4 7 str bsiii,2012.0,400000.0,120000.0,diesel,individual,manual,third owner
chevrolet cruze ltz,2015.0,1000000.0,3600.0,diesel,dealer,manual,first owner
ford figo aspire 1.2 ti-vct titanium plus,2015.0,530000.0,14272.0,petrol,dealer,manual,first owner
ford ecosport 1.5 diesel titanium plus bsiv,2017.0,840000.0,49213.0,diesel,dealer,manual,first owner
hyundai i10 sportz 1.1l,2015.0,229999.0,40000.0,petrol,individual,manual,first owner
maruti 800 std,2001.0,40000.0,40000.0,petrol,individual,manual,fourth & above owner
chevrolet spark 1.0 ls,2012.0,130000.0,80000.0,petrol,individual,manual,first owner
hyundai eon era plus,2015.0,200000.0,70000.0,petrol,individual,manual,first owner
tata indica vista aqua tdi bsiii,2011.0,120000.0,70000.0,diesel,individual,manual,first owner
hyundai santro lp zipplus,2003.0,75000.0,57000.0,petrol,individual,manual,first owner
tata bolt quadrajet xe,2016.0,250000.0,120000.0,diesel,individual,manual,first owner
maruti 800 ac bsiii,2005.0,100000.0,30000.0,petrol,individual,manual,first owner
hyundai eon era plus,2013.0,280000.0,3240.0,petrol,individual,manual,second owner
hyundai i20 magna 1.2,2015.0,540000.0,5000.0,petrol,individual,manual,first owner
hyundai i20 1.2 asta,2018.0,700000.0,10000.0,petrol,individual,manual,first owner
maruti ciaz vdi plus,2015.0,525000.0,100000.0,diesel,individual,manual,first owner
hyundai i20 asta 1.4 crdi,2016.0,430000.0,80000.0,diesel,individual,manual,first owner
hyundai santro le,2002.0,65000.0,70000.0,petrol,individual,manual,first owner
maruti vitara brezza vdi,2018.0,800000.0,35000.0,diesel,individual,manual,first owner
hyundai santro xing xl erlx euro iii,2007.0,75000.0,114000.0,petrol,individual,manual,second owner
hyundai getz 1.3 gls,2008.0,210000.0,53772.0,petrol,individual,manual,first owner
mahindra quanto c8,2012.0,195000.0,140000.0,diesel,individual,manual,second owner
chevrolet tavera neo 3 ls 7 c bsiii,2015.0,400000.0,120000.0,diesel,individual,manual,first owner
hyundai eon magna plus,2012.0,170000.0,60000.0,petrol,individual,manual,first owner
renault kwid rxt,2016.0,225000.0,25000.0,petrol,individual,manual,first owner
maruti wagon r duo lpg,2014.0,210000.0,90000.0,lpg,individual,manual,first owner
maruti wagon r lxi,2020.0,240000.0,120000.0,petrol,individual,manual,first owner
chevrolet enjoy 1.3 tcdi ls 8,2015.0,300000.0,171000.0,diesel,individual,manual,first owner
chevrolet spark 1.0 ls,2011.0,99000.0,100000.0,petrol,individual,manual,third owner
honda city i vtec sv,2014.0,620000.0,36000.0,petrol,individual,manual,first owner
honda amaze vx i-dtec,2013.0,500000.0,30000.0,diesel,individual,manual,first owner
jaguar xj 5.0 l v8 supercharged,2010.0,1200000.0,40000.0,petrol,individual,automatic,second owner
honda brio e mt,2013.0,260000.0,70000.0,petrol,individual,manual,second owner
maruti swift vvt zxi,2017.0,550000.0,60000.0,petrol,individual,manual,first owner
tata indigo cr4,2011.0,150000.0,155500.0,diesel,individual,manual,first owner
hyundai i10 asta at,2011.0,350000.0,50000.0,petrol,individual,automatic,second owner
chevrolet beat lt,2016.0,320000.0,40000.0,petrol,individual,manual,first owner
maruti swift vdi bsiv,2015.0,400000.0,100000.0,diesel,individual,manual,third owner
maruti alto lxi,2012.0,175000.0,80000.0,petrol,individual,manual,third owner
chevrolet beat lt,2011.0,120000.0,90000.0,petrol,individual,manual,second owner
renault duster 110ps diesel rxz,2013.0,320000.0,90000.0,diesel,individual,manual,second owner
hyundai santro xing xg,2006.0,70000.0,110000.0,petrol,individual,manual,third owner
maruti swift dzire zxi plus,2019.0,810000.0,15000.0,petrol,individual,manual,first owner
maruti 800 ac,2007.0,95000.0,100000.0,petrol,individual,manual,second owner
maruti alto k10 lxi cng,2020.0,282000.0,40000.0,cng,individual,manual,first owner
maruti 800 std bsii,2004.0,80000.0,60000.0,petrol,individual,manual,second owner
tata nano lx se,2013.0,72000.0,25000.0,petrol,individual,manual,first owner
hyundai i20 magna 1.2,2016.0,600000.0,25000.0,petrol,individual,manual,first owner
skoda rapid 1.6 mpi ambition with alloy wheel,2015.0,640000.0,23000.0,petrol,individual,manual,first owner
maruti alto k10 vxi,2018.0,380000.0,22155.0,petrol,individual,manual,first owner
maruti ciaz 1.4 delta,2018.0,650000.0,70000.0,petrol,individual,manual,first owner
maruti alto lx,2009.0,150000.0,60000.0,petrol,individual,manual,second owner
hyundai i20 asta,2009.0,280000.0,110000.0,petrol,individual,manual,second owner
tata nexon 1.2 revotron xm,2018.0,430000.0,30000.0,petrol,individual,manual,first owner
mahindra bolero power plus slx,2019.0,800000.0,15000.0,diesel,individual,manual,first owner
maruti zen d,2003.0,75000.0,100000.0,diesel,individual,manual,second owner
volkswagen vento celeste 1.5 tdi highline at,2016.0,650000.0,70000.0,diesel,individual,automatic,first owner
maruti eeco 7 seater standard bsiv,2017.0,390000.0,24000.0,petrol,individual,manual,first owner
honda city 1.5 exi,2005.0,100000.0,120000.0,petrol,individual,manual,second owner
mercedes-benz new c-class 220 cdi at,2013.0,1200000.0,35000.0,diesel,individual,automatic,first owner
maruti sx4 zxi with leather bsiii,2007.0,175000.0,78380.0,petrol,individual,manual,first owner
renault duster 110ps diesel rxz,2012.0,434999.0,110000.0,diesel,individual,manual,second owner
ford figo diesel titanium,2010.0,170000.0,90000.0,diesel,individual,manual,third owner
ford figo diesel titanium,2011.0,190000.0,90000.0,diesel,individual,manual,third owner
maruti swift dzire vdi,2009.0,250000.0,150000.0,diesel,individual,manual,third owner
mahindra xylo e4,2009.0,229999.0,171000.0,diesel,individual,manual,third owner
maruti esteem vxi - bsiii,2006.0,140000.0,70000.0,petrol,individual,manual,third owner
maruti swift vdi bsiv,2017.0,600000.0,80362.0,diesel,individual,manual,first owner
hyundai i20 1.2 sportz,2012.0,280000.0,110000.0,petrol,individual,manual,third owner
chevrolet beat diesel lt,2012.0,150000.0,60000.0,diesel,individual,manual,first owner
chevrolet cruze ltz at,2015.0,650000.0,50000.0,diesel,individual,automatic,first owner
nissan micra xl,2014.0,210000.0,40000.0,petrol,individual,manual,second owner
bmw 5 series 520d luxury line,2017.0,1200000.0,40000.0,diesel,individual,automatic,first owner
chevrolet enjoy 1.3 tcdi ls 8,2013.0,425000.0,20000.0,diesel,dealer,manual,first owner
hyundai eon era plus option,2014.0,265000.0,55000.0,petrol,dealer,manual,first owner
fiat linea t jet emotion,2018.0,890000.0,1136.0,petrol,dealer,manual,first owner
renault scala rxl,2013.0,365000.0,55000.0,petrol,dealer,manual,first owner
ford figo petrol titanium,2014.0,350000.0,43000.0,petrol,dealer,manual,first owner
maruti ciaz zdi shvs,2016.0,685000.0,60000.0,diesel,individual,manual,first owner
skoda rapid 1.5 tdi ambition bsiv,2018.0,940000.0,2650.0,diesel,dealer,manual,first owner
mahindra xuv500 w6 2wd,2017.0,1000000.0,40000.0,diesel,individual,manual,first owner
mahindra xuv300 w8 option,2019.0,1150000.0,15000.0,petrol,dealer,manual,first owner
maruti ertiga shvs zdi,2016.0,450000.0,115962.0,diesel,individual,manual,second owner
nissan terrano xe d,2015.0,590000.0,65000.0,diesel,dealer,manual,first owner
maruti s-cross facelift,2017.0,800000.0,40000.0,diesel,individual,manual,first owner
hyundai i20 magna 1.4 crdi (diesel),2012.0,385000.0,58000.0,diesel,dealer,manual,first owner
mercedes-benz new c-class c 220 cdi be avantgare,2013.0,1200000.0,15000.0,diesel,individual,automatic,first owner
hyundai eon era plus,2012.0,235000.0,54000.0,petrol,dealer,manual,first owner
volkswagen ameo 1.5 tdi highline,2017.0,640000.0,56000.0,diesel,dealer,manual,first owner
maruti alto lx,2006.0,52000.0,120000.0,petrol,individual,manual,third owner
maruti omni lpg cargo bsiii w immobiliser,2009.0,80000.0,90000.0,lpg,individual,manual,second owner
maruti alto lx,2012.0,140000.0,70000.0,petrol,individual,manual,second owner
hyundai verna i (petrol),2008.0,120000.0,90000.0,petrol,individual,manual,second owner
mahindra renault logan 1.5 dls,2008.0,89999.0,171000.0,diesel,individual,manual,first owner
chevrolet optra magnum 2.0 ls bsiii,2012.0,180000.0,120000.0,diesel,individual,manual,first owner
mahindra scorpio s11 bsiv,2017.0,1200000.0,20000.0,diesel,individual,manual,first owner
hyundai i20 active 1.2 sx,2017.0,700000.0,10000.0,petrol,individual,manual,first owner
maruti sx4 celebration diesel,2012.0,285000.0,80000.0,diesel,individual,manual,second owner
hyundai grand i10 magna,2015.0,390000.0,90000.0,petrol,individual,manual,first owner
maruti alto lxi bsiii,2008.0,125000.0,80000.0,petrol,individual,manual,first owner
maruti sx4 zxi with leather bsiii,2008.0,225000.0,60000.0,petrol,individual,manual,second owner
hyundai i10 era,2011.0,175000.0,139000.0,petrol,individual,manual,second owner
toyota innova 2.5 v diesel 7-seater,2011.0,1075000.0,160000.0,diesel,individual,manual,second owner
honda mobilio v i dtec,2014.0,300000.0,150000.0,diesel,individual,manual,first owner
toyota innova 2.5 g (diesel) 7 seater bs iv,2010.0,700000.0,163000.0,diesel,individual,manual,fourth & above owner
tata indica v2 2001-2011 dls bsiii,2009.0,90000.0,120000.0,diesel,dealer,manual,first owner
tata indica vista tdi ls,2011.0,120000.0,120000.0,diesel,individual,manual,second owner
chevrolet beat diesel ls,2012.0,220000.0,100000.0,diesel,individual,manual,second owner
tata zest quadrajet 1.3 75ps xe,2015.0,300000.0,140000.0,diesel,dealer,manual,first owner
skoda fabia 1.2l diesel ambiente,2010.0,180000.0,87000.0,diesel,dealer,manual,second owner
maruti 800 std,2013.0,170000.0,70000.0,petrol,individual,manual,first owner
ford figo petrol titanium,2015.0,300000.0,50000.0,petrol,individual,manual,second owner
toyota innova 2.5 vx (diesel) 8 seater,2014.0,1050000.0,70000.0,diesel,individual,manual,first owner
hyundai grand i10 1.2 crdi asta,2018.0,465000.0,25000.0,diesel,individual,manual,first owner
chevrolet beat diesel lt,2011.0,130000.0,80000.0,diesel,individual,manual,second owner
datsun go plus t option petrol,2018.0,434999.0,10000.0,petrol,individual,manual,first owner
hyundai grand i10 1.2 kappa asta,2018.0,500000.0,32000.0,petrol,individual,manual,first owner
maruti omni mpi std bsiv,2018.0,200000.0,10000.0,petrol,individual,manual,first owner
maruti baleno alpha 1.2,2017.0,625000.0,52000.0,petrol,dealer,manual,first owner
ford fiesta classic 1.4 sxi duratorq,2006.0,110000.0,120000.0,diesel,individual,manual,third owner
hyundai elite i20 asta option bsiv,2019.0,800000.0,11240.0,petrol,individual,manual,first owner
hyundai grand i10 crdi magna,2017.0,490000.0,66000.0,diesel,dealer,manual,first owner
maruti ertiga shvs zdi,2017.0,880000.0,64000.0,diesel,dealer,manual,first owner
hyundai santro xing gl plus,2013.0,290000.0,49000.0,petrol,individual,manual,first owner
tata sumo gx tc 7 str bsiii,2006.0,115999.0,100000.0,diesel,individual,manual,second owner
renault kwid rxt,2018.0,360000.0,26500.0,petrol,individual,manual,first owner
maruti 800 ac,2002.0,65000.0,100000.0,petrol,individual,manual,second owner
maruti vitara brezza ldi option,2017.0,685000.0,72000.0,diesel,dealer,manual,first owner
honda jazz s,2009.0,300000.0,50000.0,petrol,individual,manual,first owner
hyundai i20 1.4 sportz,2017.0,680000.0,44000.0,diesel,dealer,manual,first owner
maruti ertiga shvs zdi plus,2017.0,1000000.0,60000.0,diesel,individual,manual,second owner
tata sumo se plus bsiii,2002.0,100000.0,120000.0,diesel,individual,manual,first owner
mahindra xylo e4,2010.0,160000.0,130000.0,diesel,individual,manual,first owner
maruti swift zdi bsiv,2017.0,450000.0,70000.0,diesel,individual,manual,first owner
maruti ertiga vxi,2014.0,600000.0,20000.0,petrol,individual,manual,first owner
hyundai i20 1.4 magna abs,2009.0,180000.0,60000.0,diesel,individual,manual,second owner
maruti alto lxi,2007.0,100000.0,171000.0,petrol,individual,manual,first owner
maruti alto lxi,2010.0,120000.0,90000.0,petrol,individual,manual,second owner
hyundai getz gl,2006.0,130000.0,80000.0,petrol,individual,manual,third owner
maruti wagon r lx bs iv,2011.0,160000.0,155000.0,petrol,individual,manual,first owner
mahindra bolero power plus slx,2019.0,860000.0,35000.0,diesel,individual,manual,first owner
hyundai i20 1.2 spotz,2018.0,650000.0,20000.0,petrol,individual,manual,second owner
maruti wagon r lxi minor,2010.0,100000.0,80000.0,petrol,individual,manual,second owner
maruti alto 800 vxi,2017.0,282000.0,20000.0,petrol,individual,manual,first owner
hyundai i20 asta (o),2009.0,300000.0,50000.0,petrol,individual,manual,first owner
hyundai i20 asta,2010.0,270000.0,110000.0,petrol,individual,manual,second owner
hyundai verna 1.6 sx crdi (o),2013.0,550000.0,29000.0,diesel,individual,manual,first owner
mahindra xylo d2 bsiv,2013.0,450000.0,120000.0,diesel,individual,manual,first owner
mahindra bolero slx 2wd bsiii,2011.0,430000.0,70000.0,diesel,individual,manual,second owner
maruti ertiga vxi abs,2013.0,350000.0,40000.0,petrol,individual,manual,first owner
honda brio 1.2 e mt,2017.0,350000.0,20000.0,petrol,individual,manual,first owner
toyota etios liva g,2013.0,229999.0,50000.0,petrol,individual,manual,second owner
maruti alto 800 lxi,2013.0,110000.0,50000.0,petrol,individual,manual,first owner
maruti swift dzire 1.2 vxi bsiv,2012.0,395000.0,49000.0,petrol,individual,manual,second owner
mahindra scorpio vls at 2.2 mhawk,2011.0,650000.0,70000.0,diesel,individual,automatic,second owner
mahindra bolero slx,2011.0,350000.0,90000.0,diesel,individual,manual,second owner
mahindra xuv500 w11 option awd,2020.0,1200000.0,25000.0,diesel,dealer,manual,first owner
tata tiago 1.2 revotron xz,2018.0,360000.0,4000.0,petrol,individual,manual,first owner
mahindra marazzo m8 8str,2018.0,1200000.0,10000.0,diesel,individual,manual,first owner
renault duster 110ps diesel rxl,2015.0,800000.0,15000.0,diesel,individual,manual,first owner
hyundai eon magna plus,2018.0,229999.0,30000.0,petrol,individual,manual,first owner
maruti wagon r vxi,2014.0,315000.0,41000.0,petrol,dealer,manual,first owner
chevrolet spark 1.0 lt,2012.0,125000.0,28000.0,petrol,individual,manual,first owner
maruti baleno alpha,2019.0,700000.0,16000.0,petrol,individual,manual,first owner
hyundai eon 1.0 kappa magna plus,2015.0,160000.0,70000.0,petrol,individual,manual,first owner
ford figo aspire 1.2 ti-vct trend,2017.0,530000.0,10832.0,petrol,dealer,manual,first owner
ford figo aspire facelift,2018.0,624000.0,14681.0,diesel,dealer,manual,first owner
hyundai i10 era,2009.0,250000.0,50000.0,petrol,individual,manual,first owner
mahindra bolero slx,2016.0,585000.0,51000.0,diesel,dealer,manual,first owner
hyundai verna 1.4 vtvt,2015.0,500000.0,25000.0,petrol,individual,manual,first owner
chevrolet sail 1.2 lt abs,2014.0,350000.0,30000.0,petrol,individual,manual,first owner
honda city i-dtec sv,2014.0,495000.0,80000.0,diesel,dealer,manual,first owner
hyundai grand i10 1.2 kappa asta,2017.0,500000.0,50000.0,petrol,individual,manual,first owner
mahindra bolero power plus plus ac bsiv ps,2015.0,430000.0,171000.0,diesel,individual,manual,first owner
hyundai grand i10 1.2 kappa sportz option,2013.0,345000.0,44000.0,petrol,dealer,manual,first owner
maruti baleno sigma 1.2,2015.0,500000.0,10000.0,petrol,individual,manual,first owner
tata tiago 1.2 revotron xz,2019.0,425000.0,19600.0,petrol,individual,manual,first owner
maruti wagon r lxi,2005.0,80000.0,40000.0,petrol,individual,manual,second owner
chevrolet beat diesel ls,2011.0,106000.0,50000.0,diesel,individual,manual,first owner
maruti a-star vxi,2009.0,180000.0,46730.0,petrol,individual,manual,first owner
datsun go a,2015.0,250000.0,40000.0,petrol,individual,manual,second owner
skoda yeti ambition 4wd,2011.0,350000.0,80000.0,diesel,individual,manual,first owner
maruti zen lxi bsii,2002.0,60000.0,80000.0,petrol,individual,manual,second owner
hyundai verna crdi 1.6 ex,2018.0,900000.0,24000.0,diesel,individual,manual,first owner
ford aspire titanium diesel bsiv,2017.0,700000.0,21170.0,diesel,dealer,manual,first owner
bmw 3 series 320d sport,2013.0,1200000.0,167223.0,diesel,dealer,automatic,first owner
maruti ertiga shvs zdi plus,2017.0,1000000.0,40000.0,diesel,individual,manual,first owner
bmw x1 sdrive 20d exclusive,2011.0,1200000.0,60000.0,diesel,individual,automatic,first owner
toyota innova crysta 2.4 vx mt,2016.0,1200000.0,141440.0,diesel,dealer,manual,first owner
chevrolet tavera neo 3 10 seats bsiv,2007.0,160000.0,120000.0,diesel,individual,manual,third owner
mitsubishi outlander 2.4,2012.0,525000.0,140000.0,petrol,individual,automatic,first owner
mahindra xuv500 w8 2wd,2012.0,850000.0,171000.0,diesel,dealer,manual,first owner
maruti baleno alpha 1.3,2019.0,800000.0,30000.0,diesel,individual,manual,first owner
ford figo aspire 1.5 tdci titanium,2017.0,700000.0,88635.0,diesel,dealer,manual,first owner
maruti swift dzire vdi,2018.0,800000.0,25000.0,diesel,individual,manual,first owner
hyundai i20 1.2 spotz,2017.0,575000.0,20000.0,petrol,individual,manual,second owner
renault duster 110ps diesel rxz,2012.0,350000.0,110000.0,diesel,individual,manual,second owner
maruti swift vdi bsiii,2008.0,250000.0,120000.0,diesel,individual,manual,third owner
